walmart
amazon
apple
cvs
united healthcare
berkshire
mckesson
amerisourcebergen
google
exxon|mobil
at&t
costco
cigna
cardinal health
microsoft
walgreens
kroger
home depot
jpmorgan|chase
verizon
ford
general motors|gm
anthem
centene
fannie mae
comcast
chevron
dell
bank of america
target
lowe's
marathon petroleum
citi|citigroup
meta|facebook
ups
johnson & johnson|j&j
wells fargo
general electric|ge
state farm
intel
humana
ibm
procter & gamble|p&g
pepsi
fedex
metlife
freddie mac
phillips 66
lockheed martin
disney
archer-daniels-midland|ADM
albertsons
valero
boeing
prudential
hewlett packard|hp
raytheon technologies
stonex
goldman sachs
sysco
morgan stanley
hca
cisco
charter communications
merck
best buy
new york life insurance
abbvie
publix
allstate
liberty mutual
american international group
tyson foods
progressive
bristol-meyers squibb|bms
nationwide
pfizer
caterpillar
tiaa
oracle
energy transfer
dow
american express
general dynamics
nike
northrop grumman
usaa
deere
abbott laboratories
northwestern mutual
dollar general
exelon
coke|coca-cola
honeywell
thermo fisher
3m
tjx
traveelers
capital one
tesla
Philip Morris
Arrow Electronics
CHS
Jabil
Enterprise Products
Hewlett Packard Enterprise|hpe
United Natural Foods
Mondelez International
Paramount
Kraft|Heinz
Dollar Tree
Amgen
U.S. Bancorp
Performance Food Group
Netflix
Gilead Sciences
Synnex
Eli Lilly
Truist
PNC
Broadcom
CBRE
Massachusetts Mutual Life
Qualcomm
Starbucks
Duke Energy
Plains GP
US Foods
Lennar
Danaher
Aflac
Rite Aid
Visa
PayPal
Micron
CarMax
Salesforce
Altria Group
Lumen Technologies
Baker Hughes
International Paper
Hartford Financial
Penske Automotive
DuPont
AutoNation
Southern Company
World Fuel Services
D.R. Horton
Nucor
Cummins
NGL Energy
DXC
Union Pacific
Whirlpool
Molina
ConocoPhillips
McDonald's
Kimberly-Clark
Paccar
PG&E
CDW
Sherwin-Williams
L3Harris
Macy's
ManpowerGroup
NextEra Energy
Tenet Healthcare
Avnet
General Mills
WestRock
Carrier Global
Lincoln Financial
Genuine Parts
American Airlines
Marsh & McLennan
Applied Materials
Becton Dickinson
Delta Airlines
Lear
Bank of New York Mellon
Emerson Electric
Western Digital
Occidental Petroleum
Nvidia
Cognizant Technology
Jones Lang LaSalle
Synchrony
Colgate|Palmolive
AECOM
XPO Logistics
C.H. Robinson
BlackRock
Dominion Energy
Rocket Companies
Kohl's
Fluor
DISH Network
BJ's Wholesale
Tenneco
United Airlines
Mastercard
Waste Management|WM
PBF Energy
American Electric Power
Fiserv
Principal Financial
Reinsurance Group of America
Automatic Data Processing
Black & Decker
Texas Instruments|TI
Halliburton
Stryker
Estée Lauder
Corteva
Freeport-McMoRan
Qurate Retail
Wayfair
Laboratory Corp. of America
Land O'Lakes
PPG Industries
Gap
Kellogg
Parker-Hannifin
Core-Mark
Jacobs Engineering Group
Edison International
Guardian Insurance
Biogen
Omnicom Group
Unum Group
Lithia Motors
American Family Insurance
Discover
Adobe
Aramark
Otis
Ecolab
AutoZone
Loews
Illinois Tool Works
Fidelity
Ross Stores
Peter Kiewit Sons'
Equitable
WESCO
Goodyear
Fox
Leidos
Conedison
DTE Energy
Charles Schwab
State Street
Ameriprise
Viatris
Sempra
Farmers Insurance
Bath & Body
W.W. Grainger
Community Health Systems
Ball
Berry Global
Kinder Morgan
VF
Baxter
Textron
LKQ
Keurig|Dr. Pepper
O'Reilly
Crown Holdings
Universal Health
DaVita
Xcel
Newmont
Vistra
IQVIA
eBay
Corning
Quanta
HF Sinclair
Bed Bath & Beyond
Uber
Mutual of Omaha
Conagra
PulteGroup
EOG
Group 1 Automotive
Ally Financial
Fidelity National Financial
Nordstrom
Discovery
Tractor Supply
CSX
Marriott
FirstEnergy
BorgWarner
Jones Financial|Edward Jones
Republic Services
Henry Schein
Expeditors of Washington
Entergy
Advance Auto Parts
Assurant
Pacific Life
Lam Research
Boston Scientific
Altice
Norfolk Southern
Sonic Automotive
Advanced Micro Devices|AMD
United States Steel
Markel
office depot
AES
Molson Coors
J.B. Hunt
KKR
Hormel Foods
Public Service Enterprise Group|pseg
Steel Dynamics
Dick's Sporting Goods
Mohawk Industries
Murphy USA
Square|Squarespace
Quest Diagnostics
Newell Brands
Liberty Media
Huntington Ingalls
Cheniere Energy
SpartanNash
Alcoa
AGCO
Voya
NRG Energy
Interpublic
Campbell Soup
Southwest Airlines
News Corp.
Eversource Energy
Alleghany
Air Products & Chemicals
Auto-Owners Insurance
CenterPoint
Reliance Steel & Aluminum
EMCOR Group
Owens & Minor
Mosaic
Erie Insurance
Genworth Financial
Amphenol
Builders FirstSource
Oneok
United Rentals
Brighthouse Financial
Regeneron
Eastman Chemical
CommScope
Ryder
Fifth Third Bancorp
Constellation Brands
Insight Enterprises
Global Partners
Univar Solutions
Yum China
Targa Resources
Intercontinental Exchange
Andersons
Raymond James Financial
Thor Industries
Thrivent
Hershey
Casey's
W.R. Berkley
Activision|Blizzard
Western & Southern Financial
American Tower
American Financial Group
Darden Restaurants
J.M. Smucker
Williams
Intuit
Citizens Bank
PPL
NVR
Westinghouse
Foot Locker
Cincinnati Financial
Weyerhaeuser
Westlake Chemical
Navistar
Magellan Health
Booz Allen
Autoliv
S&P
Global Payments
Motorola
KeyBank
Delek US
Masco
Graybar Electric
WEC Energy
Old Republic
Frontier
Chewy
PVH
Asbury Automotive
Seaboard
Polaris
Dana
First American Financial
Cintas
Toll Brothers
Science Applications International|saic
Owens Corning
Zimmer Biomet
Xerox
Arthur J. Gallagher|ajg
Avery Dennison
Sanmina
Jefferies Financial
Beacon Roofing Supply
Securian Financial
Oshkosh Corporation
FM Global
Booking Holdings
Williams-Sonoma
Coty
Clorox
Pioneer Natural Resources
Dover
CMS Energy
Zoetis
Hanesbrands
Packaging Corp
Regions Financial
Graphic Packaging Holding
UGI
Sprouts
Avantor
Veritiv
Rockwell Automation
MasTec
DCP Midstream
Northern Trust
M&T Bank
Realogy Holdings
NCR
T. Rowe Price
Vertex Pharmaceuticals
Big Lots
Ralph Lauren
Ulta Beauty
Taylor Morrison
Icahn Enterprises
Blackstone Group
O-I Glass
Fortune Brands
NOV
Ovintiv
Alexion
Huntsman
Equinix
ABM
Ingredion
Chipotle
Sinclair Broadcast Group
LPL Financial
Crown Castle
KLA
Ameren
KBR
Burlington 
Olin
CACI
Post Holdings
Academy sports
Arconic
Celanese
Yum Brands
Fastenal
Nasdaq
Analog Devices
McCormick
Carvana
Franklin Resources
Electronic Arts|EA
MDU Resources
Select Medical
Roper Technologies
RPM International
Cerner
Patterson
Commercial Metals
Boise Cascade
Hasbro
A-Mark
Camping World
NetApp
Avis|Budget
R.R. Donnelley & Sons|rrd
Moody's
